# lnL sigma_lnL x y
0.000000000000000000e+00 0.000000000000000000e+00 -8.365934971064794556e-01 8.556340455025679415e-01
0.000000000000000000e+00 0.000000000000000000e+00 -2.128459638280558508e+00 -6.825838191927219301e-01
0.000000000000000000e+00 0.000000000000000000e+00 -2.233545168116231494e+00 -9.914633107774942222e-02
0.000000000000000000e+00 0.000000000000000000e+00 -9.160651853936190303e-01 1.136741531009131112e-01
0.000000000000000000e+00 0.000000000000000000e+00 -2.308782930901109420e+00 4.680692073107242113e-01
0.000000000000000000e+00 0.000000000000000000e+00 -1.741649694888675715e+00 -5.651932798250222101e-01
0.000000000000000000e+00 0.000000000000000000e+00 -1.702818561616010085e+00 -1.107654740959828299e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.458271294212940106e+00 -1.506816662282849939e-01
0.000000000000000000e+00 0.000000000000000000e+00 -9.953427287950775693e-01 6.294514411450198299e-01
0.000000000000000000e+00 0.000000000000000000e+00 -2.594309488281817955e-02 7.494618127130812102e-01
0.000000000000000000e+00 0.000000000000000000e+00 -1.195267071966554351e+00 -2.096090556182474085e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.858591606935860008e-01 -6.957313890829277536e-01
0.000000000000000000e+00 0.000000000000000000e+00 -1.046707209122469395e-01 5.466628850201975948e-02
0.000000000000000000e+00 0.000000000000000000e+00 7.710838670239801296e-01 2.846134589167713669e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.209988733273144934e-01 -4.967384449583451822e-01
0.000000000000000000e+00 0.000000000000000000e+00 8.393460238485838110e-01 -5.701081487001049553e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.486040660051449969e+00 -1.364399072847000571e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.182006553919659364e-01 -9.237642110590609246e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.193463162347920603e+00 1.524826492697067160e+00
0.000000000000000000e+00 0.000000000000000000e+00 -2.411537104227989559e-01 6.919275788420242712e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.184311676270730196e+00 -1.428517779522701758e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.217660637612109298e+00 1.105923939592699246e-01
0.000000000000000000e+00 0.000000000000000000e+00 5.417329626834158640e-01 -1.085299795390705313e+00
0.000000000000000000e+00 0.000000000000000000e+00 -1.289357558100399537e+00 3.262640029093903937e-01
0.000000000000000000e+00 0.000000000000000000e+00 1.349295017314768641e+00 -9.106319258621194956e-01
